Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/categories/,89,11,1100,1340.4534617986653,49.38359999505337,4614.221700001508,26718.83146067416,2.936481119247265,0.3629358686710103,1100,1500,2200,2200,2700,3200,4100,4600,4600,4600,4600
GET,/api/dashboard/,128,15,1700,1752.113117187605,125.59399999736343,4970.5430999893,34440.3125,4.223253744535392,0.49491254818774133,1700,2100,2500,2600,3100,3500,4100,4300,5000,5000,5000
GET,/api/finance/chart/,48,5,1000,1327.1286875014994,97.11099999549333,4147.1017000003485,23219.833333333332,1.5837201542007722,0.16497084939591378,1100,1700,2000,2200,2500,2600,4100,4100,4100,4100,4100
GET,/api/orders/,46,7,1200,1499.1018956526482,81.90789999207482,4776.403199997731,71876.13043478261,1.5177318144424068,0.2309591891542793,1300,2000,2300,2300,2600,3800,4800,4800,4800,4800,4800
GET,/api/products/,105,18,1200,1458.2512095242107,60.46280000009574,4813.236300004064,39215.76190476191,3.464387837314189,0.5938950578252896,1200,1900,2200,2400,3100,3600,4100,4800,4800,4800,4800
,Aggregated,416,56,1300,1512.8559574524772,49.38359999505337,4970.5430999893,36838.56971153846,13.725574669740025,1.8476735132342343,1300,1900,2300,2400,2900,3500,4100,4600,5000,5000,5000
